Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Donnys Bar Mitzvah,2/21/2023,jon,3.0,8.0,6.0,6,2021.0,,,797884,Donny Drucker's 1998 Bar Mitzvah VHS Tape.,Comedy,2021-03-23,6.3,3,https://www.themoviedb.org/movie/797884
Batman and Superman Battle of the Super Sons,2/28/2023,phill,7.0,7.0,6.0,7,2022.0,,,886396,"After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.","Animation, Action, Science Fiction",2022-10-17,7.668,274,https://www.themoviedb.org/movie/886396
Spies like us,3/7/2023,jim,8.0,9.0,8.0,8,1985.0,,,9080,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for nuclear war.","Comedy, Adventure",1985-12-06,6.2,602,https://www.themoviedb.org/movie/9080
The Whale,3/14/2023,jon,8.0,7.0,8.0,8,2022.0,,,785084,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,Drama,2022-12-09,7.864,3623,https://www.themoviedb.org/movie/785084
Hot Tub Time Machine,3/21/2023,phill,6.0,8.0,8.0,7,2010.0,,,23048,"Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Craig is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.","Science Fiction, Comedy, Adventure",2010-03-26,6.038,2385,https://www.themoviedb.org/movie/23048
Barbarian,3/28/2023,jim,7.0,9.0,6.0,7,2022.0,,,913290,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.","Horror, Mystery, Thriller",2022-09-08,6.842,2223,https://www.themoviedb.org/movie/913290
Wrong Cops,4/4/2023,jon,6.0,5.0,6.0,6,2013.0,,,158990,A group of bad cops look to dispose of a body that one of them accidentally shot.,"Crime, Comedy",2013-12-18,6.088,290,https://www.themoviedb.org/movie/158990
Tetris,4/11/2023,phill,8.0,8.0,9.0,8,2023.0,,,726759,"In 1988, American video game salesman Henk Rogers discovers the video game Tetris. When he sets out to bring the game to the world, he enters a dangerous web of lies and corruption behind the Iron Curtain.","Thriller, History, Drama",2023-03-15,7.737,1188,https://www.themoviedb.org/movie/726759
Critters 2: The Main Course,4/18/2023,jim,4.0,7.0,6.0,6,1988.0,,,1213485,"Documentary about the 1988 follow-up film Critters 2. Features interviews with director Mick Garris; actors Liane Curtis, Don Opper, Terrence Mann, and Lin Shaye; producer Barry Opper; critters designers; and more.",Documentary,2018-11-27,0.0,0,https://www.themoviedb.org/movie/1213485
Be Kind Rewind,4/25/2023,jon,5.0,4.0,5.0,5,2008.0,,,4953,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.","Drama, Comedy",2008-01-20,6.3,1301,https://www.themoviedb.org/movie/4953
The Equalizer,5/2/2023,phill,8.0,7.0,10.0,8,2014.0,,,156022,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.","Thriller, Action, Crime",2014-09-24,7.273,8761,https://www.themoviedb.org/movie/156022
Renfield,5/9/2023,jim,8.0,9.0,7.0,8,2023.0,,,649609,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.","Comedy, Horror",2023-04-07,6.561,1468,https://www.themoviedb.org/movie/649609
Wizards,5/16/2023,jon,6.0,6.0,6.0,6,1977.0,,,16220,"After the death of his mother, the evil mutant wizard Blackwolf discovers some long-lost military technologies. Full of ego and ambition, Blackwolf claims his mother's throne, assembles an army and sets out to brainwash and conquer Earth. Meanwhile, Blackwolf's gentle twin brother, the bearded and sage Avatar, calls upon his own magical abilities to foil Blackwolf's plans for world domination -- even if it means destroying his own flesh and blood.","Animation, Fantasy, Science Fiction",1977-02-09,6.161,193,https://www.themoviedb.org/movie/16220
Last Looks,5/23/2023,phill,8.0,7.0,7.0,7,2021.0,,,557946,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.","Action, Crime, Thriller",2022-01-27,5.9,287,https://www.themoviedb.org/movie/557946
The In-laws,5/30/2023,jim,7.0,8.0,7.0,7,1979.0,,,5146,"Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers.","Action, Comedy",2003-05-23,5.611,265,https://www.themoviedb.org/movie/5146
Sisu,6/6/2023,jon,9.0,8.0,9.0,9,2022.0,,,840326,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.","Action, War, Adventure",2022-09-09,7.482,1944,https://www.themoviedb.org/movie/840326
Extraction,6/13/2023,phill,7.0,7.0,6.0,7,2020.0,,,545609,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.","Action, Thriller",2020-04-24,7.333,5880,https://www.themoviedb.org/movie/545609
Day Shift,6/20/2023,jim,6.0,8.0,7.0,7,2022.0,,,755566,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,"Action, Fantasy, Horror, Comedy",2022-08-12,6.798,1852,https://www.themoviedb.org/movie/755566
Becky,6/27/2023,jon,7.0,8.0,8.0,8,2020.0,,,1209215,"A newly married couple moves into their home in the suburbs and are warmly welcomed by their neighbors, one of whom takes a dangerous interest in the husband. While his wife is away, they spend an intimate moment together and then agree to keep their distance. But she inserts herself into every aspect of his life, wreaking havoc on his marriage and job until the final explosive confrontation.",Thriller,2024-04-09,6.0,1,https://www.themoviedb.org/movie/1209215
Demon Wind,Jon's Birthday,jon,3.0,7.0,7.0,6,1990.0,,,58899,"The strange and brutal deaths of Cory’s grandparents has haunted him for years. Determined to discover the truth, he has returned to the desolate region where they lived, along with a group of friends, to try and uncover the mystery. Ignoring warnings from the locals that the area is cursed, Cory and his friends soon realize that the legend is true, as the Demon Wind, possesses and destroys them, one by one, turning them into monsters from hell.",Horror,1990-07-05,5.0,69,https://www.themoviedb.org/movie/58899
Suicide Kings,Phill's Birthday,phill,6.0,7.0,6.0,6,1997.0,,,10668,"Carlo, a former mobster, is abducted by five privileged young men desperate to raise a $2 million ransom to save the sister of a friend. As Carlo plays mind games, however, his captors splinter -- each wondering whether one of their own had a hand in the crime.","Action, Comedy, Crime, Drama, Thriller",1998-04-17,6.577,278,https://www.themoviedb.org/movie/10668
Payback,7/4/2023,phill,9.0,7.0,7.0,8,1999.0,,,2112,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.","Action, Drama, Crime",1999-02-05,6.832,1734,https://www.themoviedb.org/movie/2112
Grosse Point Blank,7/11/2023,jim,10.0,9.0,7.0,9,1997.0,,,9434,"Martin Blank is a hitman for hire. When he starts to develop a conscience, he botches a couple of routine jobs. On the advice of his secretary and his psychiatrist, he decides to attend his ten-year high school reunion in Grosse Pointe, Michigan.","Action, Comedy, Thriller, Romance",1997-04-11,6.938,864,https://www.themoviedb.org/movie/9434
Movie 43,7/18/2023,jon,8.0,9.0,9.0,9,2013.0,,,87818,A series of interconnected short films are the backdrop for a maniac screenwriter who pitches insane storylines featuring some of Hollywood's biggest and brightest.,Comedy,2013-01-24,4.6,2231,https://www.themoviedb.org/movie/87818
American Sniper,7/25/2023,phill,6.0,2.0,5.0,4,2014.0,,,190859,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.","War, Action",2014-12-25,7.43,12580,https://www.themoviedb.org/movie/190859
Pee Wee's Big Adventure,8/1/2023,jim,8.0,10.0,8.0,9,1985.0,,,5683,"The eccentric and childish Pee-wee Herman embarks on a big adventure when his beloved bicycle is stolen. Armed with information from a fortune-teller and a relentless obsession with his prized possession, Pee-wee encounters a host of odd characters and bizarre situations as he treks across the country to recover his bike.","Comedy, Adventure",1985-07-26,6.436,737,https://www.themoviedb.org/movie/5683
Sympathy for the Devil,8/8/2023,jon,6.0,7.0,6.0,6,2023.0,,,1030987,"After being forced to drive a mysterious passenger at gunpoint, a man finds himself in a high-stakes game of cat and mouse where it becomes clear that not everything is as it seems.","Action, Thriller",2023-07-20,6.01,200,https://www.themoviedb.org/movie/1030987
The Machine,8/15/2023,phill,6.0,5.0,5.0,5,2023.0,,,647250,"Bert Kreischer faces a familial crisis and the arrival of his estranged father when the ghost of his booze-soaked past arrives: a murderous mobster hellbent on kidnapping Bert back to the motherland to atone for his crimes. Together, he and his father must retrace the steps of his younger self in the midst of a war between a sociopathic crime family while they attempt to find common ground.","Comedy, Action, Crime",2023-05-25,5.782,146,https://www.themoviedb.org/movie/647250
Hollywood Dreams and Nightmares: The Robert Englund Story,8/22/2023,jim,3.0,7.0,5.0,5,2023.0,,,,,,,,,
O.C. and Stiggs,8/29/2023,jon,3.0,7.0,5.0,5,1987.0,,,27464,"O.C. and Stiggs aren't your average unhappy teenagers. They not only despise their suburban surroundings, they plot against it. They seek revenge against the middle class Schwab family, who embody all they detest: middle class.",Comedy,1987-07-10,4.4,14,https://www.themoviedb.org/movie/27464
The Illusionist ,9/5/2023,phill,6.0,6.0,7.0,6,,,,41201,A French illusionist travels to Scotland to work. He meets a young woman in a small village. Their ensuing adventure in Edinburgh changes both their lives forever.,"Animation, Drama",2010-06-16,7.236,579,https://www.themoviedb.org/movie/41201
The Brood,9/12/2023,jim,4.0,8.0,3.0,5,,,,28942,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation.","Horror, Science Fiction",1979-05-25,6.7,674,https://www.themoviedb.org/movie/28942
The Skateboard Kid,9/19/2023,jon,4.0,9.0,8.0,7,,,,125059,"No one could be more bored than Zack, the new kid in town with no friends in sight. When a gang of hip, skateboarding thrashers start cruising his neighborhood, Zack hopes his luck will change. But they want nothing to do with him. Then Zack makes the discovery of his life: a talking wisecracking, magical skateboard. And suddenly, skateboarding rises to entirely new heights.","Family, Comedy, Fantasy",1993-06-23,3.0,20,https://www.themoviedb.org/movie/125059
The Gentlemen ,9/26/2023,phill,9.0,9.0,6.0,8,,,,522627,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Action, Crime, Comedy",2020-01-01,7.682,5565,https://www.themoviedb.org/movie/522627
Fright Night,10/2/2023,jim,7.0,9.0,9.0,8,,,,11797,"Charley Brewster, a high school student, accidentally discovers the true and creepy nature of Jerry Dandrige, his dashing and enigmatic new neighbor; but no one seems willing to believe him.","Comedy, Horror",1985-08-02,7.025,1304,https://www.themoviedb.org/movie/11797
"3 Beds , 2 Baths, 1 Ghost",10/9/2023,jon,6.0,3.0,6.0,5,,,,,,,,,,
Poltergeist ,10/17/2023,phill,7.0,8.0,8.0,8,,,,243688,"A family's suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.",Horror,2015-05-20,5.21,2208,https://www.themoviedb.org/movie/243688
The Howling ,10/24/2023,jim,6.0,9.0,6.0,7,,,,11298,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem.",Horror,1981-01-21,6.6,726,https://www.themoviedb.org/movie/11298
Cobweb,10/31/2023,jon,7.0,7.0,7.0,7,2023.0,,,709631,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness.",Horror,2023-07-19,6.589,716,https://www.themoviedb.org/movie/709631
Wind River,11/7/2023,phill,8.0,6.0,7.0,7,,,,395834,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,"Crime, Drama, Mystery, Thriller",2017-08-03,7.438,5041,https://www.themoviedb.org/movie/395834
Zombie Town,11/172023,jim,4.0,5.0,3.0,4,,,,1019444,Amy and Mike unearth a centuries-old curse when they decide to watch an exclusive film reel. The duo must track down an infamous filmmaker and navigate a town of hungry zombies to save the world.,"Horror, Comedy",2023-09-01,4.37,27,https://www.themoviedb.org/movie/1019444
Sleepaway Camp,11/21/2023,jon,7.0,8.0,8.0,8,,,,13567,"After a terrible boating accident, Angela Baker is sent to Camp Arawak, where a series of bizarre and violent ""accidents"" begin to claim the lives of various campers.",Horror,1983-11-18,6.299,649,https://www.themoviedb.org/movie/13567
When Harry Met Sally,11/28/2023,phill,8.0,5.0,4.0,6,,,,639,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.","Comedy, Romance, Drama",1989-07-21,7.4,3969,https://www.themoviedb.org/movie/639
Mixed Nuts,12/5/2023,jim,5.0,7.0,6.0,6,,,,24070,The events of a crisis hotline business on one crazy night during the Christmas holidays.,"Comedy, Drama, Romance",1994-12-21,5.503,180,https://www.themoviedb.org/movie/24070
"Its a Mad, Mad, Mad, Mad, Mad World!",Jims Bday,jim,2.0,7.0,3.0,4,,,,11576,"A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.","Action, Adventure, Comedy",1963-11-07,6.959,564,https://www.themoviedb.org/movie/11576
"Christmas, Again",12/12/2023,jon,3.0,3.0,4.0,3,2014.0,,,285020,"Noel is a young man who travels from upstate New York every year to sell Christmas trees in New York City.  Returning without the help of his long-time girlfriend, this year Noel finds it impossible to do the one thing he knows so well---sell Christmas trees. As Noel begins to spiral downwards, alienating co-workers and customers in the process, it turns out this same community of people may be the only ones capable of saving Noel from self-destruction.","Drama, Romance",2015-12-04,6.25,30,https://www.themoviedb.org/movie/285020
Scrooged ,12/19/2023,phill,8.0,10.0,9.0,9,,,,9647,"Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.","Fantasy, Comedy, Drama",1988-11-22,6.796,1459,https://www.themoviedb.org/movie/9647
Mrs. Santa Clause,12/26/2023,jim,6.0,7.0,6.0,6,,,,9021,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.","Fantasy, Comedy, Family",2002-10-31,5.95,1253,https://www.themoviedb.org/movie/9021
Dream Scenario,1/2/2024,jon,7.0,8.0,8.0,8,,,,823482,"Hapless family man Paul Matthews finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.","Comedy, Fantasy",2023-11-10,6.706,691,https://www.themoviedb.org/movie/823482
The Protege,1/9/2024,phill,6.0,4.0,6.0,5,,,,645788,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.","Action, Thriller",2021-08-19,6.565,936,https://www.themoviedb.org/movie/645788
The Boogeyman,1/16/2024,jim,6.0,8.0,7.0,7,,,,532408,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late.","Horror, Thriller, Mystery",2023-05-31,6.454,798,https://www.themoviedb.org/movie/532408
School Spirit,1/23/2024,jon,5.0,6.0,8.0,6,,,,77850,"The only thing keeping Billy Batson from the girl of his dreams is one little condom—or rather the lack of one. Lucky Billy finds one at an all-night roadhouse—but speeding back to his girl, he is killed in a head-on collision. Now invisible, Billy must find his sweetheart and rekindle her fire.",Comedy,1985-10-30,4.7,32,https://www.themoviedb.org/movie/77850
Licorice Pizza,1/30/2024,phill,6.0,5.0,5.0,5,2021.0,,,718032,"The story of Gary Valentine and Alana Kane growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","Drama, Comedy, Romance",2021-11-26,6.977,2142,https://www.themoviedb.org/movie/718032
Skullduggery ,2/6/2024,jim,3.0,5.0,2.0,3,,,,147558,A subversive experimental short against the ruling class.,Animation,1962-12-31,4.3,9,https://www.themoviedb.org/movie/147558
Heart and Souls,2/13/2024,jon,7.0,7.0,10.0,8,,,,12187,"A fateful night in 1959, four people die when the bus they are riding crashes. They continue as ghosts; their souls become eternally entwined to the life of a child born at the moment of their deaths as his guardians. Baby Thomas grows up to be a businessman who has memories of his playmates, but assumes they are products of his youthful imagination. When the ghosts realize they need Thomas' help to move on to the afterlife, they decide to make an appearance once more.","Fantasy, Comedy, Romance",1993-08-13,6.898,379,https://www.themoviedb.org/movie/12187
Death on the Nile,2/20/2024,phill,5.0,4.0,3.0,4,,,,505026,Belgian sleuth Hercule Poirot's Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short.,"Mystery, Crime, Thriller",2022-02-09,6.434,3518,https://www.themoviedb.org/movie/505026
The In-Laws,2/27/2024,jim,5.0,7.0,5.0,6,,,,5146,"Right before his daughter's wedding, a mild-mannered foot doctor discovers that his new in-laws are international smugglers.","Action, Comedy",2003-05-23,5.611,265,https://www.themoviedb.org/movie/5146
Quigley,3/5/2024,jon,3.0,3.0,3.0,3,,,,73170,"When a rich practical joker dies, he's reborn as a dog, which he uses as another chance to right the wrongs he never did as a human.","Comedy, Family, Fantasy",2003-02-03,5.1,5,https://www.themoviedb.org/movie/73170
Dead Shot,3/11/2024,phill,4.0,4.0,3.0,4,,,,507250,"In the 1970s, a member of the IRA takes over an Active Service Unit in London after his wife is accidentally shot dead in Ireland. The unit's mission is to cause chaos and destruction, while his personal aim is to hunt down his wife’s killer — an SAS captain, who is also hunting him.","Action, Thriller",2023-08-18,5.3,32,https://www.themoviedb.org/movie/507250
Leprechaun ,3/19/2024,jim,6.0,9.0,8.0,8,,,,11811,A demonic leprechaun terrorizes a group of young people whom he believes stole his gold.,"Horror, Comedy, Fantasy",1993-01-08,5.5,741,https://www.themoviedb.org/movie/11811
Bad Boy Bubby,3/26/2024,jon,3.0,6.0,3.0,4,,,,14135,"Bad Boy Bubby is just that: a bad boy. So bad, in fact, that his mother has kept him locked in their house for his entire thirty years, convincing him that the air outside is poisonous. After a visit from his estranged father, circumstances force Bubby into the waiting world, a place which is just as unusual to him as he is to the world.","Crime, Drama, Comedy",1993-09-01,6.963,256,https://www.themoviedb.org/movie/14135
Run,4/2/2024,phill,7.0,7.0,7.0,7,2020.0,,,546121,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.","Thriller, Horror, Drama",2020-11-20,7.257,2461,https://www.themoviedb.org/movie/546121
Mother's Day,4/9/2024,jim,3.0,7.0,5.0,5,,,,1107872,"Nina, a former NATO special operations agent living in hiding, has to use all her deadly skills to rescue her son who has been kidnapped by ruthless gangsters. Finding Max is a double opportunity for her. A chance to feel the adrenaline rush again, and an opportunity to get back into the life of the son she had to abandon years ago.",Thriller,2023-05-24,5.8,205,https://www.themoviedb.org/movie/1107872
Sweet Dreams,4/16/2024,jon,6.0,6.0,7.0,6,2024.0,,,1062421,"Morris navigates his way through a mandatory stay at Sweet Dreams sober living. In an attempt to get his life back on track, he agrees to coach a misfit softball team of his fellow housemates.",Comedy,2024-04-12,4.6,13,https://www.themoviedb.org/movie/1062421
Mega Time Squad,4/23/2024,phill,6.0,6.0,6.0,6,,,,521936,"A small-town criminal finds an ancient Chinese time-travel device that can help him pull off a heist and start a new life-but he may not survive the consequences of tampering with time. The Castle meets Looper, Mega Time Squad is a study in high-meets-low, combining elements of the sci-fi, the crime thriller and the comedy to make a comedy heist film with a time-traveling twist.","Comedy, Science Fiction, Action, Crime, Adventure",2018-07-20,6.143,56,https://www.themoviedb.org/movie/521936
The Dukes of Hazard,4/30/2024,jim,7.0,8.0,7.0,7,,,,19580,"When mischievous teenaged cousins Bo and Luke Duke are arrested, both boys are paroled to the care of their Uncle Jesse in Hazzard, sentenced to a summer of hard work. It's not long before the Duke boys learn of Boss Hogg's plans to foreclose on Uncle Jesse's farm. Together, with help from their cousin Daisy, Bo and Luke vow to save the family's property and its storied history of producing the best moonshine in all of Hazzard.","Action, Adventure, Comedy, TV Movie",2007-03-04,6.2,188,https://www.themoviedb.org/movie/19580
Miami Blues,5/7/2024,jon,7.0,7.0,8.0,7,,,,14931,"After Junior is released from prison, he plans on starting a new life in Miami. But when he kills a man in the airport, he flees the scene and finds Susie, a mild-mannered prostitute searching for stability. The two opposites become romantically involved, and Junior steals a badge and gun from a veteran detective. Using the officer's identity, Junior embarks on a crime spree and convinces Susie that he is the perfect man.","Action, Crime, Drama, Thriller",1990-04-20,6.0,175,https://www.themoviedb.org/movie/14931
Totally Killer,5/14/2023,phill,8.0,6.0,6.0,7,2023.0,,,974931,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.","Comedy, Horror, Science Fiction",2023-09-28,6.911,756,https://www.themoviedb.org/movie/974931
The Man with One Red Shoe,5/21/2024,jim,7.0,8.0,7.0,7,,,,10905,A man is mistaken as a spy by the CIA when he arrives at the airport with one red shoe.,"Action, Comedy",1985-07-18,5.721,260,https://www.themoviedb.org/movie/10905
"Skate Town, USA",5/28/2024,jon,3.0,8.0,7.0,6,,,,,,,,,,
The Iron Claw,6/4/2024,phill,6.0,6.0,6.0,6,,,,850165,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports.","Drama, History",2023-12-21,7.56,629,https://www.themoviedb.org/movie/850165
Arcadian ,6/11/2024,jim,,,,0,,,,1051896,"In a near future, normal life on Earth has been decimated. Paul and his two sons, Thomas and Joseph, have been living a half-life – tranquility by day and torment by night. Every night, after the sun sets, they face the unrelenting attacks of a mysterious and violent evil. One day, when Thomas doesn't return home before sundown, Paul must leave the safety of their fortified farm to find him. A nightmarish battle ensues that forces the family to execute a desperate plan to survive.","Science Fiction, Thriller, Horror",2024-04-12,6.223,186,https://www.themoviedb.org/movie/1051896
